Kpmag,numax,e_numax,Delnu,e_Delnu,A,e_A,Width,e_Width,Teff,e_Teff,log(g),e_log(g),[Fe/H],e_[Fe/H],NoCorM,e_NoCorM,NoCorR,e_NoCorR,RGBcorM,e_RGBcorM,RGBcorR,e_RGBcorR,ClcorM,e_ClcorM,ClcorR,e_ClcorR,Phase
13.85,27.19,0.62,3.903,0.026,151.3,  8.0, 13.9, 2.0,4942,159,2.349,0.013,0.12,0.3,0.77,0.07,9.75,0.33,0.82,0.08,10.02,0.34,0.79,0.07,9.83,0.33,2
12.45,40.05,0.59,4.282,0.051, 91.4,  3.3, 17.6, 2.0,4897,159,2.515,0.01,-0.08,0.3,1.68,0.15,11.88,0.42,1.58,0.14,11.52,0.4,1.72,0.15,12.0,0.43,2
12.82,59.56,0.49,6.14,0.013, 86.0,  3.9, 19.1, 1.4,4609,80,2.674,0.007,0.07,0.15,1.2,0.06,8.34,0.16,1.07,0.06,7.88,0.15,1.2,0.06,8.34,0.16,1
13.28,41.82,1.25,4.52,0.031, 61.0,  4.8, 14.3, 1.6,5250,158,2.549,0.015,-0.13,0.3,1.71,0.19,11.53,0.45,1.76,0.19,11.67,0.45,1.75,0.19,11.66,0.45,2
12.84,126.62,2.42,10.333,0.019, 21.7,  1.3, 39.9,10.7,4934,80,3.016,0.01,0.04,0.15,1.59,0.11,6.47,0.16,1.53,0.11,6.35,0.16,1.61,0.12,6.52,0.17,1
13.81,31.79,1.42,4.24,0.034,115.7,  6.0, 15.3, 8.3,4825,80,2.411,0.02,-0.35,0.15,0.86,0.12,9.54,0.48,0.79,0.11,9.15,0.46,0.86,0.12,9.56,0.48,2
13.537,234.61,3.17,16.733,0.07,     ,     ,     ,    ,5018,80,3.288,0.008,-0.28,0.15,1.51,0.09,4.61,0.1,1.44,0.09,4.51,0.1,1.54,0.1,4.67,0.11,1
11.96,55.78,0.5,5.755,0.01, 88.6,  3.6, 17.3, 0.8,4685,80,2.649,0.007,-0.03,0.15,1.3,0.07,8.96,0.17,1.18,0.06,8.5,0.16,1.31,0.07,8.97,0.17,1
15.19,63.33,0.79,6.263,0.013, 88.7,  5.7, 15.7, 2.8,4261,128,2.684,0.01,-0.46,0.3,1.18,0.08,8.19,0.2,1.02,0.07,7.62,0.19,1.14,0.08,8.04,0.2,1
13.52,160.91,0.95,13.32,0.018, 47.5,  2.4, 41.4, 2.2,5070,155,3.126,0.008,-0.14,0.3,1.23,0.08,5.02,0.11,1.23,0.08,5.03,0.11,1.24,0.08,5.04,0.11,1
