Kpmag,numax,e_numax,Delnu,e_Delnu,A,e_A,Width,e_Width,Teff,e_Teff,log(g),e_log(g),[Fe/H],e_[Fe/H],NoCorM,e_NoCorM,NoCorR,e_NoCorR,RGBcorM,e_RGBcorM,RGBcorR,e_RGBcorR,ClcorM,e_ClcorM,ClcorR,e_ClcorR,Phase
13.81,89.06,0.86,8.139,0.016, 70.8,  3.1, 27.8, 1.2,5036,155,2.868,0.009,-0.03,0.3,1.48,0.1,7.41,0.17,1.46,0.1,7.36,0.17,1.5,0.1,7.47,0.17,1
13.59,31.75,3.44,4.428,0.105,104.6, 13.3, 18.0, 4.7,4701,80,2.405,0.047,0.03,0.15,0.69,0.24,8.63,1.03,0.69,0.23,8.6,1.03,0.71,0.24,8.76,1.05,2
12.95,26.6,1.2,3.416,0.085,134.7, 19.3, 11.2, 3.2,4525,80,2.32,0.02,0.37,0.15,1.08,0.19,11.92,0.83,0.98,0.17,11.33,0.77,1.08,0.19,11.89,0.82,2
13.58,34.41,1.03,4.128,0.062,100.4,  5.9, 14.4, 2.0,4913,157,2.45,0.015,0.29,0.3,1.24,0.15,11.0,0.52,1.24,0.15,11.01,0.52,1.24,0.15,11.01,0.52,2
12.98,37.06,1.25,4.171,0.148,105.8,  7.5, 14.7, 2.1,4718,80,2.473,0.016,0.09,0.15,1.4,0.25,11.37,0.91,1.29,0.23,10.9,0.86,1.42,0.26,11.43,0.92,2
12.46,31.01,0.82,3.831,0.049, 94.9,  4.4, 12.3, 1.0,4904,100,2.404,0.013,-0.09,0.3,1.22,0.13,11.5,0.47,1.17,0.12,11.25,0.46,1.23,0.13,11.55,0.47,2
13.89,30.36,0.68,3.852,0.063,123.1,  7.0, 12.5, 1.9,5109,168,2.404,0.013,-0.07,0.3,1.19,0.13,11.37,0.51,1.22,0.14,11.49,0.52,1.2,0.13,11.4,0.52,2
12.38,78.26,0.99,6.828,0.033, 44.1,  2.1, 25.1, 1.5,5045,100,2.812,0.008,-0.01,0.15,2.03,0.13,9.27,0.22,2.0,0.13,9.19,0.22,2.09,0.13,9.41,0.22,2
12.44,68.97,0.46,6.952,0.012, 83.7,  3.7, 20.3, 1.0,4812,100,2.747,0.007,-0.53,0.3,1.21,0.06,7.69,0.15,1.06,0.05,7.21,0.14,1.19,0.06,7.64,0.15,1
12.29,50.46,1.13,4.853,0.034, 49.9,  2.4, 21.2, 2.5,4823,100,2.612,0.012,-0.4,0.3,2.0,0.17,11.56,0.37,1.81,0.16,11.01,0.35,1.99,0.17,11.54,0.37,2
13.87,29.77,0.63,3.682,0.058,127.8,  6.2, 14.7, 1.8,4831,157,2.383,0.012,0.27,0.3,1.24,0.13,11.86,0.52,1.21,0.13,11.71,0.51,1.24,0.13,11.88,0.52,2
13.48,31.23,1.46,4.077,0.078,112.8,  5.1, 15.2, 2.1,4887,100,2.406,0.021,-0.25,0.3,0.97,0.16,10.21,0.64,0.92,0.15,9.97,0.62,0.97,0.16,10.21,0.64,2
13.93,157.53,1.1,12.706,0.032, 43.0,  1.9, 46.5, 2.3,5022,153,3.115,0.008,-0.21,0.3,1.37,0.09,5.37,0.12,1.33,0.08,5.29,0.12,1.4,0.09,5.43,0.12,1
12.93,79.81,0.57,7.551,0.026, 61.9,  2.1, 25.4, 1.1,4875,100,2.813,0.007,-1.06,0.3,1.37,0.07,7.59,0.15,1.19,0.06,7.09,0.14,1.33,0.07,7.49,0.15,1
11.59,79.03,0.98,7.341,0.012, 51.1,  3.1, 24.1, 1.6,4877,100,2.809,0.008,-0.36,0.3,1.49,0.09,7.96,0.17,1.36,0.08,7.59,0.16,1.51,0.09,8.01,0.17,1
10.32,47.84,0.72,4.789,0.023, 72.0,  2.4, 19.7, 1.3,4809,100,2.588,0.009,-0.25,0.3,1.79,0.12,11.24,0.28,1.62,0.11,10.7,0.27,1.8,0.12,11.28,0.28,2
12.045,207.58,1.13,15.136,0.018,     ,     ,     ,    ,4867,100,3.228,0.007,0.23,0.3,1.49,0.07,4.91,0.09,1.43,0.07,4.82,0.09,1.51,0.08,4.95,0.09,1
12.64,31.5,0.82,3.942,0.053,116.5,  5.5, 13.8, 1.7,4689,100,2.401,0.013,-0.34,0.3,1.07,0.11,10.79,0.45,0.93,0.1,10.05,0.41,1.04,0.11,10.65,0.44,2
13.49,168.52,0.96,13.837,0.018, 39.2,  1.6, 46.3, 3.4,5007,100,3.144,0.007,-0.62,0.3,1.19,0.06,4.84,0.09,1.1,0.06,4.66,0.09,1.22,0.06,4.9,0.09,1
12.12,34.53,0.57,4.082,0.054,103.4,  4.2, 14.4, 1.1,4780,100,2.445,0.01,-0.26,0.3,1.26,0.11,11.13,0.4,1.13,0.1,10.54,0.37,1.26,0.11,11.12,0.4,2
12.67,34.13,0.76,4.1,0.035,132.1,  5.4, 14.1, 1.1,4581,100,2.431,0.012,-0.0,0.3,1.12,0.1,10.68,0.36,0.99,0.09,10.03,0.33,1.11,0.1,10.63,0.35,2
13.92,28.68,1.08,3.476,0.088,116.6, 12.8,  9.7, 1.8,4764,100,2.364,0.017,-0.73,0.3,1.37,0.22,12.73,0.83,1.17,0.18,11.8,0.75,1.31,0.21,12.47,0.81,2
13.2,26.76,0.65,3.664,0.049,177.3, 20.9,  8.3, 3.3,4622,100,2.327,0.012,-0.18,0.3,0.86,0.09,10.53,0.42,0.75,0.08,9.84,0.39,0.85,0.09,10.48,0.42,2
12.87,44.74,2.16,4.391,0.399, 83.5,  6.2, 18.9, 2.2,4598,100,2.549,0.022,0.09,0.3,1.93,0.76,12.23,2.31,1.75,0.68,11.65,2.15,1.94,0.77,12.25,2.32,2
13.25,32.61,0.36,4.12,0.219,135.5,  7.5, 13.1, 1.6,4814,100,2.422,0.008,-0.48,0.3,1.03,0.23,10.36,1.12,0.91,0.2,9.74,1.02,1.02,0.22,10.29,1.11,2
14.1,34.16,0.49,4.026,0.034, 88.3,  4.7, 11.9, 1.1,4946,173,2.448,0.011,-0.12,0.3,1.36,0.11,11.52,0.36,1.3,0.11,11.26,0.35,1.38,0.12,11.61,0.37,2
13.82,54.38,0.42,5.639,0.021, 99.9,  5.0, 16.8, 1.0,4647,100,2.636,0.007,-0.21,0.3,1.3,0.07,9.06,0.19,1.14,0.06,8.49,0.17,1.28,0.07,8.99,0.19,1
11.34,61.48,2.89,6.029,0.136, 88.0, 14.5, 20.4, 4.9,4734,165,2.694,0.022,-0.04,0.3,1.47,0.26,9.04,0.62,1.34,0.24,8.63,0.59,1.48,0.27,9.08,0.63,1
12.09,70.42,1.39,5.809,0.024, 33.0,  1.5, 27.9, 1.8,4945,100,2.762,0.011,0.08,0.3,2.74,0.21,11.4,0.31,2.77,0.21,11.45,0.32,2.81,0.22,11.54,0.32,2
11.94,28.39,0.68,3.527,0.046,146.7, 14.0, 10.6, 3.1,4574,100,2.351,0.012,0.13,0.3,1.18,0.12,12.0,0.48,1.05,0.11,11.34,0.44,1.18,0.12,11.99,0.48,2
13.36,180.03,1.01,14.483,0.049, 45.2,  1.9, 48.2, 2.4,4895,100,3.168,0.007,-0.08,0.3,1.17,0.06,4.67,0.09,1.12,0.06,4.57,0.09,1.18,0.06,4.68,0.09,1
12.71,46.5,0.51,4.642,0.086, 73.9,  3.0, 18.1, 1.5,4849,100,2.578,0.008,-0.31,0.3,1.88,0.18,11.68,0.5,1.72,0.16,11.16,0.46,1.89,0.18,11.72,0.5,2
13.15,50.05,1.24,4.536,0.296, 55.5,  4.5, 19.1, 2.8,4785,100,2.607,0.012,0.31,0.3,2.52,0.69,13.08,1.75,2.49,0.68,12.98,1.73,2.55,0.7,13.15,1.77,2
12.13,33.22,0.55,3.57,0.02, 92.0,  4.5, 14.2, 2.2,4655,100,2.423,0.01,-0.07,0.3,1.84,0.13,13.82,0.37,1.66,0.12,13.13,0.35,1.84,0.13,13.83,0.37,2
13.86,31.75,2.29,4.153,0.13,106.8, 13.2, 14.4, 2.4,4635,100,2.402,0.032,-0.19,0.3,0.87,0.22,9.74,0.95,0.76,0.19,9.12,0.87,0.86,0.22,9.69,0.94,2
12.12,64.18,0.5,6.194,0.013, 88.2,  3.5, 19.2, 0.8,4611,80,2.707,0.007,0.23,0.15,1.45,0.07,8.83,0.17,1.31,0.07,8.42,0.16,1.46,0.07,8.88,0.17,1
13.69,69.04,0.55,6.915,0.016, 73.9,  3.4, 21.7, 1.1,4806,100,2.747,0.007,-0.43,0.3,1.23,0.07,7.78,0.15,1.09,0.06,7.32,0.14,1.22,0.07,7.74,0.15,1
11.52,43.98,0.64,4.546,0.025, 48.4,  1.9, 18.5, 2.0,4642,100,2.544,0.009,-0.35,0.3,1.62,0.11,11.27,0.29,1.43,0.1,10.59,0.27,1.59,0.11,11.15,0.28,2
12.61,36.52,0.31,4.094,0.018,108.7,  5.5, 11.6, 0.6,4618,100,2.462,0.007,-0.41,0.3,1.4,0.08,11.51,0.25,1.22,0.07,10.74,0.23,1.36,0.08,11.33,0.24,1
13.5,82.22,0.77,7.758,0.02, 79.9,  3.5, 25.7, 1.5,4666,100,2.817,0.008,-0.28,0.3,1.26,0.07,7.25,0.15,1.1,0.06,6.78,0.14,1.23,0.07,7.19,0.15,1
12.93,42.37,0.85,4.329,0.018, 72.5,  3.4, 16.6, 2.5,4848,154,2.537,0.012,0.11,0.3,1.88,0.16,12.23,0.37,1.78,0.15,11.9,0.36,1.92,0.17,12.37,0.38,1
12.39,104.52,0.84,9.799,0.019, 53.0,  2.1, 33.3, 1.6,4872,80,2.93,0.007,-0.57,0.15,1.08,0.05,5.9,0.11,0.97,0.05,5.57,0.1,1.08,0.05,5.9,0.11,1
12.58,52.49,0.57,5.392,0.011, 76.5,  3.8, 17.7, 0.9,4778,80,2.627,0.007,-0.13,0.15,1.45,0.08,9.7,0.2,1.32,0.07,9.24,0.18,1.46,0.08,9.74,0.2,1
10.34,26.85,1.64,3.435,0.177,106.2, 11.3, 12.0, 2.5,4768,80,2.335,0.027,-0.08,0.15,1.18,0.33,12.21,1.48,1.08,0.3,11.71,1.39,1.18,0.33,12.23,1.48,2
13.52,125.5,0.7,10.944,0.014, 60.2,  2.2, 35.5, 1.3,4898,159,3.011,0.009,0.07,0.3,1.21,0.08,5.7,0.13,1.19,0.07,5.63,0.13,1.22,0.08,5.72,0.13,1
11.68,31.38,0.92,3.935,0.025, 89.4,  4.6, 14.5, 1.5,4759,80,2.403,0.014,0.03,0.15,1.09,0.11,10.87,0.39,1.02,0.1,10.53,0.38,1.09,0.11,10.9,0.39,2
11.31,46.87,0.55,4.73,0.026, 70.9,  2.2, 18.5, 1.2,4832,80,2.58,0.008,0.1,0.15,1.78,0.11,11.32,0.26,1.67,0.1,10.99,0.25,1.82,0.11,11.44,0.26,2
13.03,129.93,0.76,11.369,0.023, 45.0,  1.9, 37.9, 1.9,4968,80,3.029,0.006,-0.42,0.15,1.18,0.06,5.51,0.1,1.11,0.05,5.33,0.09,1.21,0.06,5.56,0.1,1
11.01,105.0,1.22,8.384,0.031, 31.4,  1.4, 39.7, 2.3,5011,80,2.938,0.008,0.03,0.15,2.14,0.12,8.22,0.17,2.11,0.12,8.16,0.17,2.2,0.13,8.34,0.18,2
10.88,113.92,2.57,10.025,0.213, 39.0, 10.2, 26.9, 4.8,4952,173,2.971,0.013,-0.06,0.3,1.31,0.17,6.2,0.33,1.27,0.16,6.1,0.32,1.33,0.17,6.24,0.33,1
12.86,42.95,0.62,4.68,0.016, 75.1,  2.9, 16.1, 0.9,4943,80,2.547,0.008,-0.23,0.15,1.48,0.09,10.72,0.24,1.39,0.09,10.39,0.24,1.51,0.1,10.83,0.25,2
13.42,49.69,2.4,4.981,0.062, 42.4, 11.0, 15.2, 6.6,5036,163,2.615,0.023,-0.2,0.3,1.83,0.3,11.04,0.65,1.76,0.29,10.81,0.63,1.88,0.31,11.19,0.65,2
13.86,35.88,0.42,4.215,0.041,106.0,  4.3, 13.8, 1.0,5025,169,2.473,0.01,-0.33,0.3,1.34,0.11,11.12,0.35,1.28,0.1,10.88,0.34,1.37,0.11,11.25,0.36,2
13.31,89.09,0.44,8.584,0.017, 71.5,  4.5, 22.7, 1.2,4705,80,2.853,0.006,-0.29,0.15,1.08,0.05,6.45,0.11,0.95,0.04,6.03,0.11,1.06,0.05,6.39,0.11,1
13.07,30.09,0.51,3.827,0.067,122.2,  5.9, 11.8, 2.6,4958,166,2.393,0.011,-0.04,0.3,1.14,0.12,11.24,0.5,1.13,0.12,11.19,0.5,1.15,0.12,11.28,0.5,2
13.56,78.36,0.93,7.076,0.015, 52.2,  5.0, 21.9, 3.4,4856,154,2.805,0.01,0.24,0.3,1.67,0.12,8.48,0.21,1.6,0.11,8.29,0.2,1.7,0.12,8.56,0.21,1
13.55,126.19,3.21,9.84,0.016, 34.5,  2.9, 47.2,10.7,4982,158,3.017,0.014,0.1,0.3,1.94,0.19,7.15,0.24,1.89,0.18,7.06,0.23,1.98,0.19,7.23,0.24,1
13.31,30.43,0.28,3.887,0.038,124.2,  5.8, 10.8, 1.9,4876,155,2.395,0.009,-0.01,0.3,1.08,0.08,10.93,0.33,1.05,0.08,10.79,0.33,1.09,0.08,10.96,0.33,2
12.01,84.39,0.65,7.669,0.018, 57.3,  2.6, 25.9, 1.3,4756,80,2.832,0.007,0.04,0.15,1.47,0.07,7.69,0.14,1.35,0.07,7.39,0.14,1.48,0.08,7.74,0.15,1
13.36,54.95,0.6,5.484,0.016, 75.2,  3.8, 21.3, 2.5,4658,80,2.641,0.007,0.09,0.15,1.5,0.08,9.69,0.2,1.36,0.08,9.23,0.19,1.51,0.09,9.73,0.2,2
13.29,30.61,0.62,3.886,0.041,143.3,  5.4, 13.6, 0.9,4760,151,2.392,0.012,0.22,0.3,1.06,0.1,10.87,0.39,1.03,0.1,10.69,0.39,1.06,0.1,10.87,0.39,2
12.43,47.09,0.5,4.825,0.031, 80.0,  3.7, 17.9, 1.2,4772,80,2.58,0.007,0.34,0.15,1.63,0.1,10.86,0.25,1.55,0.09,10.58,0.25,1.66,0.1,10.94,0.26,2
11.44,29.47,0.52,4.145,0.107,112.2,  5.5, 12.5, 1.0,4901,80,2.382,0.009,-0.57,0.15,0.77,0.09,9.33,0.53,0.71,0.09,8.98,0.5,0.78,0.1,9.42,0.54,2
12.14,56.87,1.74,5.149,0.03, 38.4,  7.0, 18.2, 7.3,4941,80,2.669,0.014,0.19,0.15,2.34,0.24,11.72,0.43,2.33,0.24,11.69,0.43,2.4,0.25,11.88,0.43,2
12.59,54.76,0.72,5.11,0.012, 66.2,  3.4, 18.4, 1.4,4659,80,2.64,0.008,0.39,0.15,1.97,0.12,11.12,0.24,1.84,0.11,10.76,0.23,1.98,0.12,11.17,0.24,1
11.04,40.3,0.56,3.972,0.017, 62.6,  3.0, 15.3, 1.3,4723,80,2.51,0.008,0.12,0.15,2.2,0.14,13.64,0.32,2.05,0.13,13.19,0.3,2.23,0.14,13.76,0.32,1
12.25,109.11,2.15,8.474,0.054, 22.1,  3.8, 37.9, 8.6,5051,80,2.957,0.01,0.21,0.15,2.33,0.18,8.39,0.24,2.38,0.18,8.49,0.24,2.39,0.19,8.5,0.24,2
13.35,50.34,0.92,4.977,0.031, 47.0,  2.5, 19.9, 1.5,4986,160,2.618,0.011,-0.09,0.3,1.88,0.16,11.15,0.34,1.81,0.15,10.92,0.33,1.93,0.16,11.3,0.35,2
13.7,71.5,0.74,6.888,0.016, 68.3,  3.5, 19.1, 1.2,4664,152,2.756,0.009,0.41,0.3,1.33,0.09,8.0,0.2,1.27,0.09,7.83,0.19,1.35,0.09,8.05,0.2,1
13.23,44.13,0.46,4.874,0.014, 85.7,  5.0, 15.9, 1.2,4730,80,2.549,0.007,-0.17,0.15,1.27,0.07,9.93,0.2,1.14,0.06,9.39,0.19,1.27,0.07,9.92,0.2,1
11.84,32.03,0.89,4.101,0.067,122.6, 15.7, 12.0, 3.2,4635,162,2.406,0.015,0.16,0.3,0.94,0.12,10.08,0.49,0.87,0.11,9.7,0.47,0.94,0.12,10.08,0.49,2
13.89,74.09,1.27,6.977,0.028, 49.4,  5.7, 31.7, 7.6,4861,156,2.78,0.011,-0.11,0.3,1.5,0.12,8.25,0.24,1.39,0.11,7.96,0.23,1.52,0.12,8.31,0.24,1
13.08,169.06,1.0,13.964,0.035, 43.7,  1.8, 49.7, 2.2,4946,147,3.142,0.008,-0.22,0.3,1.14,0.07,4.74,0.1,1.09,0.07,4.64,0.1,1.14,0.07,4.76,0.1,1
13.85,190.01,1.27,15.73,0.035, 43.5,  2.4, 53.6, 3.5,5146,155,3.202,0.008,-0.41,0.3,1.06,0.07,4.28,0.09,1.07,0.07,4.3,0.1,1.08,0.07,4.32,0.1,1
13.73,39.98,0.4,4.617,0.018, 92.9,  5.6, 12.5, 0.8,4999,150,2.519,0.009,-0.44,0.3,1.28,0.09,10.3,0.25,1.2,0.08,9.99,0.24,1.31,0.09,10.42,0.25,1
12.29,28.61,0.84,3.476,0.033,124.9,  5.2, 14.3, 1.9,4696,100,2.36,0.014,-0.32,0.15,1.33,0.14,12.61,0.49,1.16,0.12,11.8,0.46,1.3,0.14,12.49,0.49,1
12.45,39.97,0.42,4.492,0.056, 89.9,  4.2, 15.1, 1.0,4910,100,2.515,0.008,-0.05,0.15,1.39,0.1,10.79,0.35,1.32,0.1,10.54,0.34,1.41,0.11,10.87,0.35,2
11.85,90.81,0.58,8.433,0.016, 59.4,  2.1, 26.5, 0.9,4976,100,2.874,0.007,-0.29,0.15,1.34,0.07,7.0,0.13,1.27,0.06,6.81,0.13,1.36,0.07,7.07,0.13,1
13.94,44.37,0.53,4.792,0.013, 89.5,  5.7, 13.7, 1.6,4898,145,2.559,0.009,-0.24,0.3,1.46,0.1,10.51,0.26,1.36,0.09,10.13,0.25,1.49,0.1,10.61,0.26,1
13.87,31.18,0.94,4.296,0.085,113.4,  4.4, 13.0, 1.3,4638,162,2.394,0.016,0.1,0.3,0.72,0.1,8.94,0.49,0.69,0.09,8.75,0.48,0.74,0.1,9.02,0.49,2
13.6,143.66,0.78,11.913,0.02, 48.8,  1.9, 40.8, 2.1,4991,157,3.074,0.008,0.14,0.3,1.33,0.08,5.56,0.12,1.34,0.08,5.56,0.12,1.35,0.08,5.59,0.12,1
12.3,34.98,2.42,3.71,0.14, 94.6,  9.0, 15.8, 2.6,4927,147,2.457,0.031,-0.22,0.3,2.01,0.53,13.87,1.45,1.89,0.49,13.44,1.39,2.06,0.54,14.03,1.47,2
13.12,77.34,0.38,7.782,0.028, 67.6,  3.5, 19.5, 1.1,4916,100,2.802,0.007,-0.82,0.15,1.12,0.06,6.96,0.14,0.99,0.05,6.55,0.13,1.11,0.06,6.94,0.13,1
12.31,30.02,0.68,4.031,0.09,137.1,  7.5, 13.2, 1.3,4845,100,2.387,0.012,-0.33,0.15,0.89,0.11,9.99,0.53,0.83,0.1,9.64,0.5,0.9,0.11,10.03,0.53,2
13.9,89.72,0.63,8.121,0.025, 52.3,  2.6, 27.1, 1.7,4943,150,2.867,0.008,0.08,0.3,1.48,0.09,7.43,0.17,1.44,0.09,7.32,0.17,1.5,0.09,7.48,0.17,1
11.11,28.38,0.47,4.12,0.089,130.2,  5.2, 10.6, 0.7,4986,100,2.369,0.009,-0.85,0.15,0.72,0.08,9.18,0.45,0.67,0.07,8.86,0.43,0.76,0.08,9.41,0.47,2
13.23,39.62,2.56,4.382,0.752, 90.0, 14.4, 15.2, 3.3,4659,163,2.499,0.029,0.22,0.3,1.38,0.99,10.95,3.83,1.27,0.89,10.49,3.6,1.39,1.0,11.01,3.86,2
12.77,32.36,0.56,4.134,0.128,115.6,  4.7, 13.2, 0.9,5258,165,2.438,0.011,-0.25,0.3,1.14,0.17,10.67,0.72,1.18,0.17,10.89,0.74,1.15,0.17,10.72,0.73,2
12.6,89.2,0.91,7.98,0.011, 40.8,  2.0, 29.7, 1.8,4877,80,2.862,0.007,-0.13,0.15,1.53,0.08,7.6,0.15,1.43,0.08,7.34,0.14,1.56,0.08,7.66,0.15,1
13.9,30.94,0.87,3.88,0.05,128.8,  5.3, 14.2, 1.9,5002,153,2.407,0.015,-0.14,0.3,1.19,0.14,11.3,0.49,1.17,0.13,11.2,0.49,1.2,0.14,11.33,0.49,2
13.49,33.77,0.64,4.148,0.029,125.5,  5.0, 14.8, 1.5,5028,157,2.446,0.011,0.07,0.3,1.19,0.1,10.81,0.34,1.21,0.11,10.91,0.34,1.2,0.1,10.85,0.34,2
12.34,37.77,0.53,4.249,0.013,115.2,  7.1, 13.2, 1.1,4934,147,2.491,0.01,-0.22,0.3,1.47,0.11,11.42,0.29,1.38,0.1,11.07,0.28,1.5,0.11,11.54,0.3,1
11.72,39.94,0.58,4.429,0.041, 83.7,  3.6, 15.2, 1.2,5219,159,2.527,0.01,-0.33,0.3,1.61,0.13,11.43,0.36,1.61,0.13,11.45,0.36,1.65,0.13,11.59,0.36,2
12.82,29.12,0.94,3.704,0.044,107.3,  5.8, 13.8, 2.8,4786,80,2.371,0.015,-0.09,0.15,1.12,0.13,11.41,0.5,1.03,0.12,10.98,0.47,1.12,0.13,11.44,0.5,2
12.85,28.89,1.07,3.791,0.067, 83.6,  9.5, 10.2, 2.9,4873,80,2.372,0.017,-0.3,0.15,1.02,0.14,10.91,0.59,0.95,0.13,10.53,0.56,1.03,0.14,10.94,0.59,2
12.66,33.05,0.59,4.234,0.044,120.4,  5.3, 13.6, 1.2,4810,80,2.428,0.01,-0.08,0.15,0.96,0.08,9.94,0.32,0.92,0.07,9.71,0.31,0.96,0.08,9.94,0.32,2
13.79,31.42,0.81,3.918,0.055,131.6,  6.0, 14.5, 1.9,4850,150,2.407,0.014,0.5,0.3,1.14,0.13,11.08,0.48,1.16,0.13,11.14,0.48,1.14,0.13,11.08,0.48,2
12.54,32.62,1.14,4.11,0.037,131.1,  5.4, 14.9, 1.4,5039,158,2.432,0.017,0.14,0.3,1.12,0.14,10.65,0.48,1.15,0.15,10.82,0.48,1.12,0.14,10.68,0.48,2
10.43,24.92,1.2,2.919,0.243,128.1, 14.0, 11.3, 3.0,4832,139,2.306,0.022,-0.21,0.3,1.84,0.68,15.8,2.76,1.68,0.61,15.11,2.58,1.86,0.69,15.9,2.78,2
13.78,30.5,0.5,3.862,0.082,136.1,  5.4, 15.0, 1.6,4692,80,2.387,0.009,-0.02,0.15,1.05,0.11,10.89,0.53,0.96,0.1,10.38,0.49,1.06,0.11,10.9,0.53,2
12.5,29.51,0.9,4.263,0.083,136.3,  6.0, 13.6, 1.5,5289,162,2.399,0.015,-0.36,0.3,0.77,0.1,9.18,0.49,0.82,0.11,9.47,0.51,0.78,0.1,9.24,0.5,2
14.83,28.02,0.77,3.984,0.127,149.5,  7.2, 12.6, 2.1,5155,154,2.371,0.014,-1.03,0.3,0.83,0.13,9.85,0.71,0.82,0.13,9.77,0.71,0.88,0.14,10.16,0.74,2
13.95,30.11,0.72,4.081,0.104,148.1,  6.4, 12.3, 1.2,5250,161,2.406,0.013,-0.41,0.3,0.96,0.13,10.18,0.61,1.0,0.14,10.39,0.63,0.98,0.13,10.27,0.62,2
11.45,23.15,0.47,3.402,0.045,159.8,  8.2,  9.5, 0.9,4705,80,2.268,0.01,-0.31,0.15,0.77,0.07,10.66,0.4,0.68,0.06,10.01,0.36,0.77,0.07,10.65,0.39,2
9.52,30.75,0.7,3.847,0.03,126.0,  5.4, 12.5, 1.1,4856,139,2.398,0.013,-0.11,0.3,1.15,0.11,11.25,0.39,1.09,0.1,10.93,0.37,1.16,0.11,11.28,0.39,2
13.78,32.1,0.55,3.503,0.106, 75.6,  3.4, 12.5, 0.9,5087,80,2.427,0.009,-0.48,0.15,2.05,0.28,14.5,0.94,1.97,0.27,14.22,0.92,2.12,0.3,14.76,0.97,2
13.75,112.7,0.77,9.581,0.016, 61.8,  2.0, 34.2, 1.5,4506,80,2.946,0.007,0.21,0.15,1.32,0.07,6.4,0.12,1.17,0.06,6.04,0.11,1.32,0.07,6.4,0.12,1
12.68,30.37,0.89,3.785,0.033,115.3,  5.4, 13.7, 1.6,4617,80,2.382,0.014,0.18,0.15,1.1,0.11,11.19,0.42,1.0,0.1,10.68,0.4,1.1,0.11,11.2,0.42,2
12.43,35.63,0.82,4.156,0.035,116.7,  5.0, 14.4, 1.2,5000,149,2.469,0.013,0.01,0.3,1.38,0.13,11.34,0.4,1.36,0.13,11.26,0.4,1.4,0.13,11.41,0.4,2
12.99,27.27,0.48,3.556,0.068,125.0,  4.8, 11.8, 1.2,5249,163,2.363,0.011,-0.38,0.3,1.24,0.14,12.14,0.57,1.27,0.14,12.29,0.58,1.26,0.14,12.26,0.58,2
13.13,65.15,0.6,6.432,0.018, 90.6,  3.7, 19.9, 1.0,4570,80,2.711,0.007,0.16,0.15,1.28,0.07,8.27,0.16,1.15,0.06,7.83,0.15,1.29,0.07,8.29,0.16,1
10.62,52.54,0.49,5.439,0.019, 86.6,  3.4, 16.7, 0.8,4644,80,2.621,0.007,-0.07,0.15,1.35,0.07,9.41,0.19,1.2,0.06,8.88,0.18,1.34,0.07,9.39,0.19,1
15.39,29.4,0.92,4.103,0.111,177.9,  8.9, 12.8, 3.6,5077,151,2.388,0.016,-0.65,0.3,0.83,0.13,9.67,0.64,0.83,0.13,9.62,0.63,0.86,0.13,9.81,0.65,2
12.77,104.55,1.24,8.895,0.014, 38.9,  1.8, 35.7, 2.5,4888,80,2.931,0.008,0.03,0.15,1.6,0.09,7.18,0.15,1.52,0.09,7.0,0.14,1.63,0.09,7.23,0.15,1
11.45,28.09,0.71,3.221,0.009,134.2,  6.1, 11.7, 1.4,4484,128,2.342,0.013,-0.17,0.3,1.59,0.15,14.09,0.46,1.41,0.13,13.26,0.43,1.56,0.15,13.96,0.46,1
12.275,220.14,2.72,16.933,0.015,     ,     ,     ,    ,5058,145,3.262,0.009,-0.2,0.3,1.2,0.08,4.24,0.1,1.19,0.08,4.23,0.1,1.21,0.08,4.26,0.1,1
12.65,84.99,0.68,8.026,0.018, 64.4,  2.4, 27.1, 1.3,4884,80,2.841,0.007,-0.25,0.15,1.3,0.07,7.17,0.13,1.2,0.06,6.9,0.13,1.32,0.07,7.22,0.14,1
10.61,31.86,0.49,3.779,0.032,113.2,  5.0, 12.2, 0.8,4773,80,2.41,0.009,0.06,0.15,1.35,0.1,11.98,0.34,1.25,0.09,11.56,0.32,1.36,0.1,12.05,0.34,2
13.4,60.98,0.48,6.166,0.018, 91.2,  4.3, 18.2, 1.0,4908,151,2.698,0.009,0.03,0.3,1.39,0.09,8.73,0.2,1.34,0.09,8.57,0.2,1.41,0.09,8.79,0.2,1
13.0,62.63,0.67,6.069,0.012, 86.4,  3.4, 21.2, 1.1,4651,80,2.698,0.007,0.24,0.15,1.48,0.08,9.01,0.18,1.36,0.07,8.63,0.17,1.5,0.08,9.07,0.18,1
11.93,34.07,0.51,4.052,0.035,142.2,  6.2, 12.8, 0.9,4661,134,2.434,0.01,0.44,0.3,1.2,0.1,11.01,0.34,1.14,0.09,10.72,0.33,1.2,0.1,10.99,0.33,2
11.7,31.95,0.58,4.004,0.053,111.5,  4.6, 12.5, 0.9,5081,159,2.425,0.011,-0.17,0.3,1.18,0.11,11.04,0.42,1.19,0.11,11.08,0.43,1.19,0.11,11.08,0.43,2
13.92,72.48,0.66,7.314,0.017, 77.6,  3.4, 23.5, 1.4,5003,155,2.777,0.009,-0.16,0.3,1.21,0.08,7.45,0.17,1.19,0.08,7.37,0.17,1.22,0.08,7.48,0.17,1
13.08,36.38,1.0,4.257,0.043, 85.6,  3.3, 15.6, 1.2,5037,80,2.479,0.013,-0.65,0.15,1.35,0.14,11.07,0.42,1.26,0.13,10.7,0.4,1.39,0.14,11.24,0.42,2
